Technology,Typical processing times,Typical reaction temperature (°C),Major products,Total capital cost (10³ U.S. $/kW)
Table 1. Comparison of typical process conditions and capital expenditures (CapEx) of different biomass conversion pathways.,,,,
Liquefactionᵃ,0.5–2 h,200–400,Bio-oil and tar,0.3
Pyrolysisᵃ,1–5 s for fast and flash pyrolysis; 10–100 min for slow pyrolysis,300–600,"Bio-oil, biochar and gas",0.8
Thermochemical gasificationᵃ,30–60 min,700–1000,"Syngas, biochar and gas",3.6–4.5
Hydrothermal gasificationᵃ,15–60 min for batch reactors; 30–90 s for continuous reactors,350–650,"Syngas, biochar and tar",9.9
Anaerobic digestionᵇ,14–60 days,37–55,Biogas and digestate,1.4–2.2
"Fermentationᵇ (includes ethanol, butanol and syngas fermentation)",6–48 h for ethanol; 6–72 h for butanol fermentation; <15 days for syngas fermentation,32–38,"Ethanol, butanol, acetone, acetic acid and butyric acid",1.4–2.0
"ᵃ Thermochemical conversion technologies.
ᵇ Biological conversion technologies. References: Kalinci et al. [17]; Yoshida et al. [18]; Okolie et al. [219].",,,,
,,,,
"Table 2. List of different biogenic, polymeric and petrochemical waste residues used in supercritical water gasification.",,,,
Biogenic waste,Optimal reaction conditions,Key findings,Reference,
Asphaltene and petroleum coke,Temperature: 650 °C; Pressure: 23–25 MPa; Reaction time: 60 min; Feed concentration: 15 wt%,"• Asphaltene produced higher amount of total gases (11.97 mmol/g) than petroleum coke (8.04 mmol/g) in non-catalytic SCWG.
• 5 wt% Ni/AC catalyst resulted in higher H₂ yields from asphaltene (4.17 mmol/g) as opposed to petroleum coke (2.98 mmol/g).",Rana et al. [61],
