"Table 1: Machine Learning algorithm used in Microalgae growth monitoring"
S/N,ML Algorithm,Model,Feature,Merit,Demerit,Refs.
1,Logic Regression,23 Variables,Detectability for certain differentially expressed genes,Best performance in all models,Nonlinear expression ability,(Wang et al.,2018)
2,Support Vector Machine,RBF_Kernel function,Small sample,Generalization error minimum,Need actual case verification,(He et al.,2018)
3,Decision Tree,25 decision output, 49 leaves with the depth of the tree is 6,Suitable for the open raceway pond,Easy to evaluate and use,Cannot build without sufficient dataset,(Supriyanto et al.,2018)
4,Random Forest,Four hyperparameter,Averaging the output of the regression trees,Handle highly-dimensional input in a short time,Difficult to produce training data,(Lopez-Exposito et al.,2019)
5,K-means,K = 6,Clustering algorithm,Avoids an increase in data dimensionality,High calculation cost,(Vijayakumar et al.,2020)
6,Neural Network,Eight input neurons, 11 hidden neurons,Multilayer backpropagation neural network,High prediction accuracy,High training cost,(Supriyanto et al.,2019)
7,Deep Learning,A feed-forward CNN,Transfer learning,Powerful,Needs lots of images,(Dunker et al.,2018)

"Table 2: Machine Learning Algorithm Performance Analysis with Small Dataset"
ML Algorithm,Merits,Demerits,Application in Biofuel Production,Performance with a large dataset,Data used,Source,Refs.
Support vector Machine (SVM),Due to the support vector’s function in creating the ideal hyper-plane they have limited sensitivity to outliers. SVM is well acknowledged for its effectiveness in binary classification and is suitable for classification and regression tasks. It effectively handles memory. It is an appropriate option for a dataset with many dimensions. In real-world scenarios they exhibit high precision in predicting outcomes for limited data sets.,SVM does not operate effectively when more features per data point than training samples exist. It performs poorly when dealing with datasets with a high noise level. It is not suitable for handling huge datasets.,Forecast biodiesel yield,Performs well with small dataset,Microalgal strain data Environmental conditions (CO2 supply nutrients light) Biomass composition,Biological databases and literature on microalgal species Experimental data from cultivation studies.,(Sharma et al. 2023)
Artificial Neural Network (ANN),Modelling intricate nonlinear systems can be effectively done with this effective technique. Less statistical expertise is needed to construct it. It manages memory reasonably well.,The algorithm’s black box aspect and lack of interpretability have proven to be a significant disadvantage.,Forecast biodiesel yield,Large Data Sets: ANNs often perform well with large datasets as they can learn complex patterns and relationships. However training time might be longer.,Extraction and purification process data Hydrothermal liquefaction (HTL) parameters Bio-oil composition,Experimental data from biorefinery setups Research studies focusing on HTL and analytical chemistry,(Sultana et al. 2022)
